Status,#,Source Name,Full Name,URL,API URL,API Type,Country/Region,Has Qualitative Data,Files Downloadable,Auth for Search,Auth for Download,Licensing,Est. Qualitative Results,Notes
Implemented,1,QDR (Syracuse),Qualitative Data Repository,https://data.qdr.syr.edu,https://data.qdr.syr.edu/api/,Dataverse API,USA,Yes,Yes (open + restricted),None,None for open files; restricted return 403,Standard Access (treated as open),~231,Only dedicated qualitative data repository; confirmed QDPX files
Implemented,2,Borealis (Canada),Borealis — Canadian Dataverse Repository,https://borealisdata.ca,https://borealisdata.ca/api/,Dataverse API,Canada,Yes,Yes,None,Standard Dataverse,Varies,~3011,Formerly Scholars Portal; confirmed NVivo codebook files
Skipped,3,AUSSDA,AUSSDA — The Austrian Social Science Data Archive,https://data.aussda.at,https://data.aussda.at/api/,Dataverse API,Austria,Yes,Yes,None,Standard Dataverse,AUSSDA Scientific Use Licence (non-open),~1400,Skipped — all datasets use AUSSDA Scientific Use Licence; 0 downloads across all queries
Implemented,4,DataverseNL,DataverseNL (Netherlands),https://dataverse.nl,https://dataverse.nl/api/,Dataverse API,Netherlands,Yes,Yes,None,Standard Dataverse,Varies,~396,Hosts files from Dutch universities; actual file downloads (unlike ODISSEI portal)
Implemented,5,Sciences Po (France),Sciences Po Dataverse,https://data.sciencespo.fr,https://data.sciencespo.fr/api/,Dataverse API,France,Yes,Yes,None,Standard Dataverse,Varies,~150,French social science; most files restricted
Skipped,6,ODISSEI (Netherlands),ODISSEI Portal — Open Data Infrastructure for Social Science,https://portal.odissei.nl,https://portal.odissei.nl/api/,Dataverse API,Netherlands,Yes,No (metadata-only aggregator),None,N/A,N/A,~213 (non-harvested),Metadata-only portal; files array always empty; datasets discoverable via DANS and DataverseNL
Skipped,7,CSDA Czech Republic,Czech Social Science Data Archive,https://archivdv.soc.cas.cz,https://archivdv.soc.cas.cz/api/,Dataverse API,Czech Republic,Yes,Yes,None,Standard Dataverse,ČSDA non-commercial licence (non-open),~9 (qualitative) / ~336 (interview),Skipped — all datasets use ČSDA restricted licence; 0 downloads across all queries
Implemented,8,Recherche Data Gouv,Recherche Data Gouv — French National Research Data Repository,https://entrepot.recherche.data.gouv.fr,https://entrepot.recherche.data.gouv.fr/api/,Dataverse API,France,Yes,Yes,None,Standard Dataverse,CC-BY 4.0 common,~33,French national repository; standard MD5 checksums
Implemented,9,Abacus/UBC (Canada),Abacus Data Network (University of British Columbia),https://abacus.library.ubc.ca,https://abacus.library.ubc.ca/api/,Dataverse API,Canada,Yes,Yes,None,Standard Dataverse,Varies,~7,Separate from Borealis; small qualitative yield
Implemented,10,JHU Dataverse,Johns Hopkins Research Data Repository,https://archive.data.jhu.edu,https://archive.data.jhu.edu/api/,Dataverse API,USA,Yes,Yes,None,Standard Dataverse,Varies,~7,Confirmed focus group transcripts and interview data
Skipped,11,LiDA (Lithuania),LiDA — Lithuanian Data Archive for SSH,https://lida.dataverse.lt,https://lida.dataverse.lt/api/,Dataverse API,Lithuania,Yes,Yes,None,Standard Dataverse,LiDA restricted licence (non-open),~175 (interview),Skipped — all datasets use LiDA restricted licence; 0 downloads across all queries
Skipped,12,ISSDA (Ireland),Irish Social Science Data Archive,https://issda.ucd.ie,https://issda.ucd.ie/api/,Dataverse API,Ireland,Yes,Yes,None,Standard Dataverse,ISSDA End User Licence (non-open),~7,Skipped — all datasets use ISSDA End User Licence; 0 downloads across all queries
Implemented,13,CORA (Catalonia),CORA — Research Data Repository of Catalonia,https://dataverse.csuc.cat,https://dataverse.csuc.cat/api/,Dataverse API,Spain (Catalonia),Yes,Yes,None,Standard Dataverse,CC BY-NC-SA common,~106,Good qualitative yield; some datasets have Local Contexts notices
